学号,科目,异常值,类型
S0014,语文,-12.64118497395831,超出范围
S0075,语文,-1.0,超出范围
S0094,语文,105.34142105430125,超出范围
S0116,语文,-5.286737715216203,超出范围
S0020,数学,-8.139113316264318,超出范围
S0024,数学,-7.95708711895038,超出范围
S0061,数学,-1.0,超出范围
S0070,数学,1000.0,超出范围
S0080,数学,-8.786798111676582,超出范围
S0090,数学,137.54095535383038,超出范围
S0101,数学,122.9819209167726,超出范围
S0149,数学,-12.890139791172853,超出范围
S0047,英语,250.0,超出范围
S0075,英语,-10.593618917964287,超出范围
S0081,英语,-99.0,超出范围
S0154,英语,-99.0,超出范围
S0170,英语,250.0,超出范围
S0057,物理,109.50052363903191,超出范围
S0117,物理,-11.19602004089019,超出范围
S0188,物理,132.18804190140855,超出范围
S0198,物理,1000.0,超出范围
S0004,化学,-18.702928110340633,超出范围
S0049,化学,-1.0,超出范围
S0057,化学,129.82191108047112,超出范围
S0093,化学,1000.0,超出范围
S0118,化学,250.0,超出范围
S0144,化学,999.0,超出范围
S0150,化学,-0.36061619107709575,超出范围
S0169,化学,-9.516816585476755,超出范围
S0192,化学,1000.0,超出范围
S0037,生物,135.08528917834354,超出范围
S0047,生物,1000.0,超出范围
S0113,生物,250.0,超出范围
S0102,语文,44.4,IQR异常
S0126,数学,0.0,IQR异常
S0010,物理,36.8,IQR异常
S0140,物理,35.3,IQR异常
S0003,化学,0.0,IQR异常
S0051,化学,0.0,IQR异常
